,TP9,AF7,AF8,TP10,Right AUX,timestamps
264,989.258,990.234,-557.617,999.512,0.000,1713320976.660
265,899.414,897.461,-792.480,239.258,0.000,1713320976.664
266,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.667
267,360.352,342.285,-984.375,-618.164,0.000,1713320976.671
268,-1000.000,-1000.000,-580.566,999.512,0.000,1713320976.675
269,-718.262,-1000.000,-678.223,245.117,0.000,1713320976.678
270,961.426,-969.238,-1000.000,-1000.000,0.000,1713320976.682
271,660.156,-939.941,-1000.000,-1000.000,0.000,1713320976.686
272,-1000.000,-1000.000,-754.883,27.832,0.000,1713320976.689
273,-283.203,-377.930,-676.270,999.512,0.000,1713320976.693
274,999.512,980.469,-999.512,-350.098,0.000,1713320976.696
275,940.430,978.516,-1000.000,-1000.000,0.000,1713320976.700
276,936.523,928.711,-812.012,-18.555,0.000,1713320976.706
277,976.074,979.980,-552.734,999.512,0.000,1713320976.710
278,904.785,905.762,-913.574,99.609,0.000,1713320976.714
279,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.717
280,250.488,187.988,-875.000,-338.379,0.000,1713320976.721
281,-1000.000,-1000.000,-478.516,999.512,0.000,1713320976.725
282,-318.848,-984.375,-767.090,166.992,0.000,1713320976.728
283,999.512,-973.633,-1000.000,-1000.000,0.000,1713320976.732
284,292.969,-944.336,-1000.000,-993.164,0.000,1713320976.736
285,-1000.000,-1000.000,-674.316,512.695,0.000,1713320976.739
286,-200.684,-220.215,-685.059,745.605,0.000,1713320976.743
287,999.512,999.512,-1000.000,-933.105,0.000,1713320976.747
288,934.082,952.148,-1000.000,-1000.000,0.000,1713320976.753
289,929.199,941.895,-676.270,416.016,0.000,1713320976.756
290,968.262,970.215,-469.727,999.512,0.000,1713320976.760
291,917.480,913.574,-966.309,-272.461,0.000,1713320976.764
292,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.767
293,110.352,96.680,-730.469,-146.484,0.000,1713320976.771
294,-1000.000,-1000.000,-433.105,999.512,0.000,1713320976.775
295,-249.512,-971.680,-908.203,-205.078,0.000,1713320976.778
296,999.512,-979.004,-1000.000,-1000.000,0.000,1713320976.782
297,211.914,-944.824,-943.359,-585.938,0.000,1713320976.786
298,-1000.000,-1000.000,-646.484,973.633,0.000,1713320976.789
299,1.465,-187.988,-799.316,408.691,0.000,1713320976.793
300,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.799
301,916.016,947.754,-1000.000,-633.789,0.000,1713320976.803
302,961.426,950.195,-545.898,995.605,0.000,1713320976.806
303,937.500,946.289,-439.941,696.777,0.000,1713320976.810
304,953.125,941.895,-1000.000,-814.453,0.000,1713320976.814
305,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.817
306,-427.734,-269.531,-625.000,76.172,0.000,1713320976.821
307,-661.621,-1000.000,-365.234,999.512,0.000,1713320976.825
308,895.020,486.816,-944.824,-288.086,0.000,1713320976.828
309,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.832
310,102.539,165.039,-770.020,-210.938,0.000,1713320976.836
311,-1000.000,-1000.000,-339.844,999.512,0.000,1713320976.839
312,265.137,-74.219,-783.203,219.727,0.000,1713320976.845
313,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.849
314,214.355,331.055,-945.312,-421.387,0.000,1713320976.853
315,-1000.000,-1000.000,-391.602,999.512,0.000,1713320976.856
316,-236.328,-279.297,-562.988,306.641,0.000,1713320976.860
317,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.864
318,673.340,850.098,-1000.000,-867.676,0.000,1713320976.867
319,-966.309,-763.672,-531.738,685.059,0.000,1713320976.871
320,-329.590,-564.453,-437.500,842.285,0.000,1713320976.875
321,999.512,955.566,-1000.000,-700.684,0.000,1713320976.878
322,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.882
323,-295.898,-121.582,-652.344,-23.926,0.000,1713320976.886
324,-722.656,-1000.000,-364.258,999.512,0.000,1713320976.892
325,829.102,452.148,-931.152,15.137,0.000,1713320976.895
326,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.899
327,138.672,167.969,-806.641,-237.793,0.000,1713320976.903
328,-1000.000,-1000.000,-331.543,999.512,0.000,1713320976.906
329,171.387,-122.070,-722.656,242.676,0.000,1713320976.910
330,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.914
331,310.059,431.152,-976.074,-548.828,0.000,1713320976.917
332,-1000.000,-1000.000,-409.180,999.512,0.000,1713320976.921
333,-268.066,-290.527,-515.137,485.352,0.000,1713320976.925
334,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.928
335,798.340,901.367,-1000.000,-1000.000,0.000,1713320976.932
336,-828.125,-685.059,-557.129,309.570,0.000,1713320976.938
337,-400.391,-642.578,-411.621,999.512,0.000,1713320976.941
338,999.512,900.879,-994.629,-422.363,0.000,1713320976.945
339,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.949
340,-166.016,29.785,-683.594,-122.070,0.000,1713320976.953
341,-764.160,-1000.000,-286.621,999.512,0.000,1713320976.956
342,765.625,315.918,-843.750,163.086,0.000,1713320976.960
343,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.964
344,147.949,187.988,-842.285,-262.695,0.000,1713320976.967
345,-1000.000,-1000.000,-238.770,999.512,0.000,1713320976.971
346,83.496,-215.820,-578.125,234.375,0.000,1713320976.975
347,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.978
348,408.691,521.973,-1000.000,-723.633,0.000,1713320976.984
349,-1000.000,-1000.000,-380.371,889.648,0.000,1713320976.988
350,-286.133,-303.711,-423.340,652.832,0.000,1713320976.991
351,999.512,999.512,-1000.000,-916.016,0.000,1713320976.995
352,937.500,999.512,-1000.000,-1000.000,0.000,1713320976.999
353,-636.230,-438.965,-546.875,208.496,0.000,1713320977.002
354,-479.492,-761.230,-313.477,999.512,0.000,1713320977.006
355,988.770,810.547,-966.797,-223.145,0.000,1713320977.010
356,999.512,999.512,-1000.000,-1000.000,0.000,1713320977.013
357,-27.344,122.559,-695.312,-197.266,0.000,1713320977.017
358,-951.172,-1000.000,-253.418,999.512,0.000,1713320977.021
359,503.418,95.215,-790.527,223.633,0.000,1713320977.024
